budget,mode,iteration,scenario_count,added_scenario,added_type,LB,candidate_UB,global_UB,gap,regular_cost,R,R/B,master_time,oracle_time,infeasible_scenario_count,worst_recourse_cost,worst_scenario
900.0,cold,4,6,s0012,infeasible,5367.022245809675,,,,900.0,0.0,0.0,0.02337349997833371,0.16617450001649559,2,,
900.0,cold,5,7,,,5381.392979009996,5381.392979009997,5381.392979009997,9.094947017729282e-13,900.0,0.0,0.0,0.05168599996250123,0.16184670000802726,0,4481.392979009997,s0016
900.0,warm,1,6,s0006,infeasible,5364.411201493434,,,,900.0,0.0,0.0,0.02422839996870607,0.16611849999753758,2,,
900.0,warm,2,7,,,5381.392979009996,5381.392979009997,5381.392979009997,9.094947017729282e-13,900.0,0.0,0.0,0.028132100007496774,0.17185919999610633,0,4481.392979009997,s0016
1000.0,cold,1,3,s0000,infeasible,3163.62174902642,,,,1000.0,-0.0,-0.0,0.014130899973679334,0.1617018999531865,10,,
1000.0,cold,2,4,s0006,infeasible,3234.4192275211503,,,,1000.0,-0.0,-0.0,0.015091100009158254,0.1620091999648139,5,,
1000.0,cold,3,5,s0010,infeasible,3251.4010050377105,,,,1000.0,-0.0,-0.0,0.020224399981088936,0.16431709995958954,3,,
1000.0,cold,4,6,s0012,infeasible,3255.593674381104,,,,1000.0,0.0,0.0,0.022754000034183264,0.18708030000561848,2,,
1000.0,cold,5,7,,,3269.9644075814276,3269.9644075814263,3269.9644075814263,-1.3642420526593924e-12,1000.0,0.0,0.0,0.02747940004337579,0.17347999999765307,0,2269.9644075814263,s0016
1000.0,warm,1,7,,,3269.9644075814276,3269.9644075814263,3269.9644075814263,-1.3642420526593924e-12,1000.0,-0.0,-0.0,0.028068599989637733,0.19813410000642762,0,2269.9644075814263,s0016
1100.0,cold,1,3,s0006,infeasible,1134.1272220047929,,,,1100.0,-0.0,-0.0,0.012572999985422939,0.1631628000177443,5,,
1100.0,cold,2,4,s0008,worst_cost,1162.51105165849,2264.23493437839,2264.23493437839,1101.7238827198998,1100.0,-0.0,-0.0,0.017104600032325834,0.16661580000072718,0,1164.2349343783899,s0008
1100.0,cold,3,5,s0012,infeasible,1171.0251465790463,,2264.23493437839,,1100.0,-0.0,-0.0,0.021717800002079457,0.19405489997006953,2,,
1100.0,cold,4,6,,,1184.2497686697277,1184.2497686697275,1184.2497686697275,-2.2737367544323206e-13,1100.0,0.0,0.0,0.024648199963849038,0.1646447000093758,0,84.24976866972744,s0008
1100.0,warm,1,7,s0008,worst_cost,1163.2007147875922,2352.7876801551815,2352.7876801551815,1189.5869653675893,1100.0,0.0,0.0,0.025036700011696666,0.160233199945651,0,1252.7876801551815,s0008
1100.0,warm,2,8,,,1184.2497686697263,1184.2497686697275,1184.2497686697275,1.1368683772161603e-12,1100.0,0.0,0.0,0.02868540002964437,0.16632499999832362,0,84.24976866972744,s0008
1200.0,cold,1,3,s0008,worst_cost,1107.9447146854193,1672.379964764651,1672.379964764651,564.4352500792318,1091.9688930473214,108.03110695267867,0.09002592246056555,0.014688300027046353,0.17009640001924708,0,580.4110717173297,s0008
1200.0,cold,2,4,s0000,infeasible,1108.0097775244624,,1672.379964764651,,1072.1380190794168,127.86198092058314,0.10655165076715262,0.016639300039969385,0.1672940999851562,6,,
1200.0,cold,3,5,s0006,infeasible,1113.1068348509132,,1672.379964764651,,1061.76643863459,138.23356136540994,0.11519463447117495,0.022601399978157133,0.18702589999884367,1,,
1200.0,cold,4,6,s0010,worst_cost,1114.1131924301237,1124.0482127149733,1124.0482127149733,9.935020284849543,1059.8225818882988,140.17741811170117,0.11681451509308431,0.023568800010252744,0.171657899976708,0,64.22563082667435,s0010
1200.0,cold,5,7,s0011,worst_cost,1114.8850740371208,1118.0660711173136,1118.0660711173136,3.1809970801928102,1050.6594432104464,149.34055678955372,0.12445046399129477,0.0309580999892205,0.1729716999689117,0,67.40662790686713,s0011
1200.0,cold,6,8,,,1115.180980742255,1115.180980742255,1115.180980742255,0.0,1050.9553499155807,149.0446500844194,0.1242038750703495,0.027758500014897436,0.17007799999555573,0,64.22563082667439,s0011
1200.0,warm,1,8,s0011,worst_cost,1114.8850740371206,1118.0660711173134,1118.0660711173134,3.1809970801928102,1050.6594432104462,149.34055678955372,0.12445046399129477,0.030337899981532246,0.20184440002776682,0,67.40662790686716,s0011
1200.0,warm,2,9,,,1115.180980742255,1115.180980742255,1115.180980742255,0.0,1050.9553499155807,149.0446500844194,0.1242038750703495,0.02974470000481233,0.16658530000131577,0,64.22563082667439,s0011
