run_id,tier_id,seed,budget_index,budget,timing_repetitions,cold_seconds,warm_seconds,speedup_cold_over_warm,cold_objective,warm_objective,objective_difference,consistency_tolerance,cold_iterations,warm_iterations,cold_initial_scenarios,warm_initial_scenarios,cold_final_scenarios,warm_final_scenarios,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_peak_memory_mb,warm_peak_memory_mb,cold_lower_bound,warm_lower_bound,cold_upper_bound,warm_upper_bound,cold_gap,warm_gap,cold_master_solve_count,warm_master_solve_count,cold_recourse_lp_solve_count,warm_recourse_lp_solve_count,warm_reused_scenario_count,warm_scenario_reuse_rate,training_scenario_count
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072408,V2,2026072408,0,1107.2893851278257,3,1.8415038999992248,1.8892480000031355,0.9747285163176929,46988.383456773416,46988.383456773416,0.0,0.004708838345677341,1,1,2,2,2,2,0.03714799999943352,0.03837700000076438,1.0281222000012349,1.0538453999979538,74.578125,74.1875,46988.38345677341,46988.38345677341,46988.383456773416,46988.383456773416,7.275957614183426e-12,7.275957614183426e-12,1,1,100,100,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072408,V2,2026072408,1,1353.3536929340091,3,1.8239744999991672,1.8349698000019998,0.9940079122812698,41797.84426797548,41797.84426797548,0.0,0.004189784426797547,1,1,2,2,2,2,0.03959300000133226,0.039963899998838315,1.0005448999982036,1.000050899998314,74.7734375,74.13671875,41797.84426797549,41797.84426797549,41797.84426797548,41797.84426797548,-7.275957614183426e-12,-7.275957614183426e-12,1,1,100,100,1,0.5,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072408,V2,2026072408,2,1599.4180007401926,3,1.8454506999987643,1.8418128000012075,1.001975173588518,36607.305079177546,36607.305079177546,0.0,0.0036707305079177544,1,1,2,2,2,2,0.04547869999805698,0.040670799997315044,1.001875400001154,0.9984995000013441,74.203125,74.2421875,36607.305079177546,36607.305079177546,36607.305079177546,36607.305079177546,0.0,0.0,1,1,100,100,1,0.5,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072409,V2,2026072409,0,1107.2893851278257,3,1.8302020000010089,1.828461299999617,1.0009520026491083,27568.6250770552,27568.6250770552,0.0,0.0027668625077055197,1,1,4,4,4,4,0.04617399999915506,0.04490739999891957,0.9949894000019412,0.9793386999990616,75.12890625,74.34375,27568.6250770552,27568.6250770552,27568.6250770552,27568.6250770552,0.0,0.0,1,1,100,100,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072409,V2,2026072409,1,1353.3536929340091,3,1.8311060999985784,1.9054968000018562,0.9609599449323635,22423.932060345196,22423.932060345196,0.0,0.0022523932060345194,1,1,4,4,4,4,0.04725910000342992,0.043714299998100614,1.0121209999997518,1.025239300000976,75.09375,75.9375,22423.932060345192,22423.932060345192,22423.932060345196,22423.932060345196,3.637978807091713e-12,3.637978807091713e-12,1,1,100,100,1,0.25,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072409,V2,2026072409,2,1599.4180007401926,3,1.8278137000015704,1.8747404999994615,0.9749689090314608,17294.887904064755,17294.887904064755,0.0,0.0017394887904064755,1,1,4,4,4,4,0.044256199998926604,0.04425219999757246,1.0011627999992925,1.0012315000021772,76.3203125,75.20703125,17294.88790406476,17294.88790406476,17294.887904064755,17294.887904064755,-3.637978807091713e-12,-3.637978807091713e-12,1,1,100,100,1,0.25,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072410,V2,2026072410,0,1107.2893851278257,3,2.884796800000913,2.8810884000013175,1.0012871524523836,21694.247697714352,21694.247697714352,0.0,0.002179424769771435,2,2,3,3,4,4,0.07598029999644496,0.0763546000016504,2.010699000002205,2.032327200002328,75.58203125,75.4296875,21694.247697714352,21694.247697714352,21694.247697714352,21694.247697714352,0.0,0.0,2,2,200,200,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072410,V2,2026072410,1,1353.3536929340091,3,2.934779699997307,1.941032599999744,1.5119682688470528,16565.203541433915,16565.203541433915,0.0,0.0016665203541433914,2,1,3,4,4,4,0.07849649999843678,0.04390090000015334,2.0773423000027833,1.0611802999992506,75.27734375,75.58984375,16565.20354143391,16565.20354143391,16565.203541433915,16565.203541433915,3.637978807091713e-12,3.637978807091713e-12,2,1,200,100,2,0.5,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072410,V2,2026072410,2,1599.4180007401926,3,3.996669899999688,2.9308349000020826,1.363662586383439,11440.96195033938,11440.96195033938,0.0,0.001154096195033938,3,2,3,4,5,5,0.10463750000053551,0.07281619999776012,3.062924199999543,2.0546627000003355,75.7265625,76.3046875,11440.961950339377,11440.961950339377,11440.96195033938,11440.96195033938,3.637978807091713e-12,3.637978807091713e-12,3,2,300,200,2,0.5,100
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072401,P1,2026072401,0,5870.3989732624905,1,50.99798920000103,49.494606499996735,1.0303746772894213,115640.64050554234,115640.64050554234,0.0,0.011574064050554233,3,3,4,4,6,6,0.318522400000802,0.3175405000038154,49.527358999999706,48.05251860000135,119.01171875,120.38671875,115640.6405055423,115640.6405055423,115640.64050554234,115640.64050554234,4.3655745685100555e-11,4.3655745685100555e-11,3,3,1500,1500,0,0.0,500
